,Title,Published_date,Views,Likes,Comments,Month
210,What Does a Data Scientist Actually Do?,2019-07-19,32723,1117,79,Jul
211,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11820,334,42,Jul
212,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,16247,487,61,Jul
213,Data Science: Pros and Cons,2019-06-30,4777,206,18,Jun
214,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22579,1109,89,Jun
215,My Top 5 Data Science Internship Tips,2019-06-15,10678,454,19,Jun
216,Golf STATS: Strokes Gained Explained,2019-06-07,6139,132,28,Jun
217,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,585,44,5,May
218,What I Learned From My Three Degrees,2019-05-17,1190,59,12,May
219,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25086,1050,67,May
220,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1167,40,2,May
221,Should You Learn R for Data Science?,2019-04-25,18410,515,69,Apr
222,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45083,831,337,Apr
223,Work From Home Data Scientist: Day in the Life,2019-04-12,27777,759,103,Apr
224,Where to Look for Data Science Jobs,2019-03-29,2936,118,9,Mar
225,Data Science: Startup vs. Large Corporation,2019-03-21,1957,71,4,Mar
226,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5611,159,25,Mar
227,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3977,172,14,Mar
228,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,752,30,12,Mar
229,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1336,33,8,Mar
230,Where YOU Should Start With Data Science Projects,2019-02-19,13568,287,17,Feb
231,Watch This Before Applying to Data Science Jobs,2019-02-04,1442,63,13,Feb
232,My Top 5 Data Science Resources for 2019,2019-01-05,3612,118,17,Jan
233,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,801,36,6,Dec
234,The Best Way to Predict NBA Minutes Played,2018-12-11,3638,97,13,Dec
235,Demystifying Data Science Roles,2018-11-30,1094,52,5,Nov
236,How to Simulate NBA Games in Python,2018-11-19,15936,360,54,Nov
237,Should You Get A Masters in Data Science?,2018-11-14,19978,295,141,Nov
238,How I Became A Data Scientist From a Business Background,2018-11-12,6157,189,23,Nov
239,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7952,179,17,Jul
240,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18066,277,41,Nov
